Location,Month,Avg Temp (°C),Avg High (°C),Avg Low (°C),Daylight (h/day),Cloud Cover (%),Rainfall (mm),Source
"Göreme, Turkey",Jan,-1.7,3.3,-6.7,9.8,45,15,https://weatherspark.com/y/98298/Average-Weather-in-G%C3%B6reme-Turkey-Year-Round
"Göreme, Turkey",Feb,-0.6,5.6,-5.6,10.8,47,13,https://weatherspark.com/y/98298/Average-Weather-in-G%C3%B6reme-Turkey-Year-Round
"Göreme, Turkey",Mar,4.4,10.6,-1.7,12.0,43,20,https://weatherspark.com/y/98298/Average-Weather-in-G%C3%B6reme-Turkey-Year-Round
"Göreme, Turkey",Apr,10.0,16.7,2.8,13.3,40,30,https://weatherspark.com/y/98298/Average-Weather-in-G%C3%B6reme-Turkey-Year-Round
"Göreme, Turkey",May,13.9,21.1,6.7,14.3,29,30,https://weatherspark.com/y/98298/Average-Weather-in-G%C3%B6reme-Turkey-Year-Round
"Göreme, Turkey",Jun,18.3,25.6,10.0,14.8,10,23,https://weatherspark.com/y/98298/Average-Weather-in-G%C3%B6reme-Turkey-Year-Round
"Göreme, Turkey",Jul,21.7,29.4,12.8,14.5,1,8,https://weatherspark.com/y/98298/Average-Weather-in-G%C3%B6reme-Turkey-Year-Round
"Göreme, Turkey",Aug,21.1,28.9,12.2,13.6,1,3,https://weatherspark.com/y/98298/Average-Weather-in-G%C3%B6reme-Turkey-Year-Round
"Göreme, Turkey",Sep,16.7,25.0,7.8,12.4,11,10,https://weatherspark.com/y/98298/Average-Weather-in-G%C3%B6reme-Turkey-Year-Round
"Göreme, Turkey",Oct,11.1,18.9,3.3,11.1,32,23,https://weatherspark.com/y/98298/Average-Weather-in-G%C3%B6reme-Turkey-Year-Round
"Göreme, Turkey",Nov,4.4,11.1,-1.7,10.1,41,23,https://weatherspark.com/y/98298/Average-Weather-in-G%C3%B6reme-Turkey-Year-Round
"Göreme, Turkey",Dec,0.0,5.6,-5.0,9.5,46,20,https://weatherspark.com/y/98298/Average-Weather-in-G%C3%B6reme-Turkey-Year-Round
"Varna, Bulgaria",Jan,2.2,6.1,-1.7,9.4,58,23,https://weatherspark.com/y/94446/Average-Weather-in-Varna-Bulgaria-Year-Round
